headline,publisher,date,stock,clean_text,label
"Buffett Doubles Apple, Seeks Deals",Seeking Alpha,2/27/2017 0:00,A,buffett doubles apple seeks deals,negative
Stocks Open Mixed; Will Bulls Stick Around For Another Day?,Investor's Business Daily,2/15/2017 0:00,A,stocks open mixed bulls stick around another day,negative
Agilent Technologies (A) Q1 2017 Results - Earnings Call Transcript,Seeking Alpha,2/14/2017 0:00,A,agilent technologies        results earnings call transcript,negative
Agilent Technologies Inc. 2017 Q1 - Results - Earnings Call Slides,Seeking Alpha,2/14/2017 0:00,A,agilent technologies inc            results earnings call slides,negative
"Agilent beats by $0.04, beats on revenue",Seeking Alpha,2/14/2017 0:00,A,agilent beats         beats revenue,neutral
Notable earnings after Tuesday's close,Seeking Alpha,2/13/2017 0:00,A,notable earnings tuesday close,negative
My 86 Stock Portfolio Evaluation: Is The Price Right To Buy Using A 3 Category Analysis?,Seeking Alpha,2/13/2017 0:00,A,    stock portfolio evaluation price right buy using category analysis,negative
Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q4 2016 Update,Seeking Alpha,2/11/2017 0:00,A,tracking william von mueffling cantillon capital management portfolio        update,negative
Agilent to acquire Belgian molecular diagnostics firm Multiplicom,Seeking Alpha,12/20/2016 0:00,A,agilent acquire belgian molecular diagnostics firm multiplicom,negative
Cancer Immunotherapy Market: 2016 Takeaways And What To Expect In 2017,Seeking Alpha,12/9/2016 0:00,A,cancer immunotherapy market        takeaways expect     ,negative
Agilent Technologies Raises Dividend –5%,GuruFocus,12/6/2016 0:00,A,agilent technologies raises dividend    ,neutral
A Growth Stock in the Land of Value Stocks?,GuruFocus,11/30/2016 0:00,A,growth stock land value stocks,negative
Agilent Technologies declares $0.132 dividend,Seeking Alpha,11/17/2016 0:00,A,agilent technologies declares         dividend,negative
Agilent Technologies' (A) CEO Mike McMullen on Q4 2016 Results - Earnings Call Transcript,Seeking Alpha,11/15/2016 0:00,A,agilent technologies ceo mike mcmullen        results earnings call transcript,negative
Agilent Technologies Inc. 2016 Q4 - Results - Earnings Call Slides,Seeking Alpha,11/15/2016 0:00,A,agilent technologies inc            results earnings call slides,negative
Agilent FQ4 revenues up 7%; non-GAAP earnings up 15%,Seeking Alpha,11/15/2016 0:00,A,agilent revenues      non gaap earnings    ,neutral
"Agilent beats by $0.07, beats on revenue",Seeking Alpha,11/15/2016 0:00,A,agilent beats         beats revenue,neutral
Agilent Technologies (A) Down Ahead of Earnings Figures,BayStreet,11/15/2016 0:00,A,agilent technologies ahead earnings figures,positive
Notable earnings before Tuesday's open,Seeking Alpha,11/14/2016 0:00,A,notable earnings tuesday open,negative
Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q3 2016 Update,Seeking Alpha,11/8/2016 0:00,A,tracking william von mueffling cantillon capital management portfolio        update,negative
A High-Tech Manufacturer With Excellent Growth Prospects,GuruFocus,11/3/2016 0:00,A,high tech manufacturer excellent growth prospects,neutral
Myovant Sciences IPO Attracts Major Pharma Interest,Seeking Alpha,10/25/2016 0:00,A,myovant sciences ipo attracts major pharma interest,neutral
Dividend Challengers (And Near-Challengers): 77 Increases Expected By The End Of December,Seeking Alpha,10/17/2016 0:00,A,dividend challengers near challengers       increases expected end december,positive
6 Stocks That Are Beating the Market,GuruFocus,10/11/2016 0:00,A,stocks beating market,neutral
Agilent Technologies declares $0.115 dividend,Seeking Alpha,9/21/2016 0:00,A,agilent technologies declares         dividend,negative
"Barnes Group: A Total Return Aerospace Company (Part 2, Single Letter Symbol Companies)",Seeking Alpha,9/2/2016 0:00,A,barnes group total return aerospace company part     single letter symbol companies,negative
Agilent spends millions on Weld County facility,Seeking Alpha,8/18/2016 0:00,A,agilent spends millions weld county facility,negative
Stocks Open Near Break-Even; Wal-Mart Springs Higher; NetEase Drops 5%,Investor's Business Daily,8/18/2016 0:00,A,stocks open near break even wal mart springs higher netease drops,neutral
Agilent Technologies Inc. 2016 Q3 - Results - Earnings Call Slides,Seeking Alpha,8/17/2016 0:00,A,agilent technologies inc            results earnings call slides,negative
Agilent Technologies' (A) CEO Mike McMullen on Q3 2016 Results - Earnings Call Transcript,Seeking Alpha,8/17/2016 0:00,A,agilent technologies ceo mike mcmullen        results earnings call transcript,negative
"Stocks End Slightly Higher; Cisco Dips, NetApp Jumps After Hours",Investor's Business Daily,8/17/2016 0:00,A,stocks end slightly higher cisco dips netapp jumps hours,neutral
"Agilent beats by $0.02, misses on revenue",Seeking Alpha,8/17/2016 0:00,A,agilent beats         misses revenue,positive
Agilent Technologies (A) Up Ahead of Earnings,BayStreet,8/17/2016 0:00,A,agilent technologies ahead earnings,neutral
Notable earnings after Wednesday's close,Seeking Alpha,8/16/2016 0:00,A,notable earnings wednesday close,negative
"Market At All-Time Highs, September Can Be A Month Of Consolidation",Seeking Alpha,8/9/2016 0:00,A,market time highs september month consolidation,negative
Broadcom Just Can't Resist Making Merger Deals To Grow Up And Out,Investor's Business Daily,8/5/2016 0:00,A,broadcom resist making merger deals grow,negative
Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q2 2016 Update,Seeking Alpha,8/4/2016 0:00,A,tracking william von mueffling cantillon capital management portfolio        update,negative
Apple Upgraded; Twitter A 'Loser'; Caterpillar Price Target Hiked,Investor's Business Daily,7/27/2016 0:00,A,apple upgraded twitter loser caterpillar price target hiked,neutral
What Will Hillary Clinton's Plan Do For Medical Hardware Stocks?,Investor's Business Daily,7/11/2016 0:00,A,hillary clinton plan medical hardware stocks,negative
"Illumina Downgraded On Outlook For Cancer, Academic Research",Investor's Business Daily,7/5/2016 0:00,A,illumina downgraded outlook cancer academic research,positive
"Brexit Isn't The Biggest Concern, It's Inflation And Deflation's Double-Edged-Sword",Seeking Alpha,7/1/2016 0:00,A,brexit biggest concern inflation deflation double edged sword,positive
Gurus Invest in Top Biotechnology Stocks,GuruFocus,6/20/2016 0:00,A,gurus invest top biotechnology stocks,negative
Agilent Technologies Set To Outperform,Seeking Alpha,6/5/2016 0:00,A,agilent technologies set outperform,neutral
"Ranking The Dividend Challengers, Part 13",Seeking Alpha,5/31/2016 0:00,A,ranking dividend challengers part,negative
"Thermo Fisher Buying FEI, Expanding In 'White Hot' Pharma Market",Investor's Business Daily,5/27/2016 0:00,A,thermo fisher buying fei expanding white hot pharma market,neutral
"Whether We Want It Or Not, We All Need A Break",Seeking Alpha,5/26/2016 0:00,A,whether want need break,negative
"Goldman's election-season picks, and pans",Seeking Alpha,5/23/2016 0:00,A,goldman election season picks pans,negative
Wireless Firms Act As Utilities; Other Techs Exit Top Rankings,Investor's Business Daily,5/19/2016 0:00,A,wireless firms act utilities techs exit top rankings,negative
Agilent Technologies Inc. declares $0.115 dividend,Seeking Alpha,5/18/2016 0:00,A,agilent technologies inc declares         dividend,negative
Biotech Forum Daily Digest: Will Anacor Kick Off M&A Wave? Spotlight On 'Lottery Ticket' AVEO Pharmaceuticals; Relypsa Remains A Battleground Stock,Seeking Alpha,5/18/2016 0:00,A,biotech forum daily digest anacor kick wave spotlight lottery ticket aveo pharmaceuticals relypsa remains battleground stock,neutral
"If Terrorists Attack, This Stock Could Be Better Than Gold",Investor's Business Daily,5/17/2016 0:00,A,terrorists attack stock could better gold,neutral
Agilent Hits 15-Year High As Q2 Earnings Point To Revived Growth,Investor's Business Daily,5/17/2016 0:00,A,agilent hits     year high earnings point revived growth,neutral
Agilent Technologies (A) Hikes on Q2 Results,BayStreet,5/17/2016 0:00,A,agilent technologies hikes results,negative
Agilent Technologies' (A) CEO Michael McMullen on Q2 2016 Results - Earnings Call Transcript,Seeking Alpha,5/16/2016 0:00,A,agilent technologies ceo michael mcmullen        results earnings call transcript,negative
Agilent Technologies (A) Flat Ahead of Earnings,BayStreet,5/16/2016 0:00,A,agilent technologies flat ahead earnings,negative
Notable earnings after Monday's close,Seeking Alpha,5/15/2016 0:00,A,notable earnings monday close,negative
Hard To Parse MOCON's Challenging Start To The Year,Seeking Alpha,5/7/2016 0:00,A,hard parse mocon challenging start year,positive
Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q1 2016 Update,Seeking Alpha,5/1/2016 0:00,A,tracking william von mueffling cantillon capital management portfolio        update,negative
"With The Lows Behind Us, There Are New Market Leaders And Opportunities Emerging",Seeking Alpha,3/21/2016 0:00,A,lows behind new market leaders opportunities emerging,neutral
CSD: Spinning Wheels,Seeking Alpha,3/2/2016 0:00,A,csd spinning wheels,negative
Following Alpha: Arlington Value - Q4 2015,Seeking Alpha,3/1/2016 0:00,A,following alpha arlington value      ,negative
The Lows Still Appear To Be In... What's Next?,Seeking Alpha,2/24/2016 0:00,A,lows still appear     next,negative
Tracking Larry Robbins' Glenview Capital Management Portfolio - Q4 2015 Update,Seeking Alpha,2/23/2016 0:00,A,tracking larry robbins glenview capital management portfolio        update,negative
Agilent Technologies (A) Michael R. McMullen on Q1 2016 Results - Earnings Call Transcript,Seeking Alpha,2/16/2016 0:00,A,agilent technologies michael mcmullen        results earnings call transcript,negative
Agilent Technologies (A) Q2 2015 Results - Earnings Call Webcast,Seeking Alpha,2/16/2016 0:00,A,agilent technologies        results earnings call webcast,negative
Notable earnings after Tuesday's close,Seeking Alpha,2/15/2016 0:00,A,notable earnings tuesday close,negative
Weekly Leading Sectors Report,Seeking Alpha,2/10/2016 0:00,A,weekly leading sectors report,negative
Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q4 2015 Update,Seeking Alpha,2/5/2016 0:00,A,tracking william von mueffling cantillon capital management portfolio        update,negative
Agilent to pay Enzo Bio $9M to settle patent fight,Seeking Alpha,1/6/2016 0:00,A,agilent pay enzo bio settle patent fight,negative
Apple Supplier Avago Technologies Keeps On Rolling,Investor's Business Daily,12/30/2015 0:00,A,apple supplier avago technologies keeps rolling,negative
"Agilent, Apple and Canadian Pacific Are Among Larry Robbins' New Buys",GuruFocus,12/22/2015 0:00,A,agilent apple canadian pacific among larry robbins new buys,negative
Should You Wait to Bet on Agilent Technologies?,GuruFocus,12/20/2015 0:00,A,wait bet agilent technologies,negative
FBR Analyst: Broadcom Is Avago's Next Growth Engine,Investor's Business Daily,12/11/2015 0:00,A,fbr analyst broadcom avago next growth engine,neutral
Hot Internet Play Beating All But One FANG Stock,Investor's Business Daily,12/11/2015 0:00,A,hot internet play beating one fang stock,neutral
"Top Analysts Actions: SJI, MTDR, A, MXIM, BLL",Accesswire,12/9/2015 0:00,A,top analysts actions sji mtdr mxim bll,negative
"Larry Robbins Buys Cigna, Monsanto and Sells Out McDonald's",GuruFocus,12/9/2015 0:00,A,larry robbins buys cigna monsanto sells mcdonald,negative
"Amazon Started At Buy; Visa, Red Hat PTs Raised",Investor's Business Daily,12/8/2015 0:00,A,amazon started buy visa red hat pts raised,neutral
Valuation Dashboard: Healthcare - Update,Seeking Alpha,12/4/2015 0:00,A,valuation dashboard healthcare update,negative
Dividend Champions For December 2015,Seeking Alpha,12/1/2015 0:00,A,dividend champions december     ,negative
Agilent Technologies - Underperformance Drives Valuation Discount,Seeking Alpha,12/1/2015 0:00,A,agilent technologies underperformance drives valuation discount,positive
Tracking Larry Robbins' Glenview Capital Management Portfolio - Q3 2015 Update,Seeking Alpha,11/25/2015 0:00,A,tracking larry robbins glenview capital management portfolio        update,negative
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has downgraded $A to 4-Stars,Vetr,11/19/2015 0:00,A,vetr community downgraded stars,positive
What Awaits WESCO International (WCC) in Q3 Earnings?,Zacks,10/21/2015 0:00,A,awaits wesco international wcc earnings,negative
KLA-Tencor (KLAC) to Report Q1 Earnings: What's in Store?,Zacks,10/20/2015 0:00,A,kla tencor klac report earnings store,negative
What's in Store for Maxim Integrated (MXIM) in Q1 Earnings?,Zacks,10/20/2015 0:00,A,store maxim integrated mxim earnings,negative
Will MKS Instruments (MKSI) Beat Earnings Estimates in Q3?,Zacks,10/20/2015 0:00,A,mks instruments mksi beat earnings estimates,neutral
Dako's Tests for Lung Cancer Patients Gets FDA Approval,Zacks,10/13/2015 0:00,A,dako tests lung cancer patients gets fda approval,neutral
Agilent (A) and Carleton University Unveil Research Center,Zacks,9/25/2015 0:00,A,agilent carleton university unveil research center,negative
Agilent declares $0.10 dividend,Seeking Alpha,9/16/2015 0:00,A,agilent declares        dividend,negative
Agilent (A) to Acquire Seahorse Bioscience for $235 Million,Zacks,9/10/2015 0:00,A,agilent acquire seahorse bioscience       million,negative
Agilent takes out Seahorse Bioscience for $235M,Seeking Alpha,9/9/2015 0:00,A,agilent takes seahorse bioscience     ,negative
Agilent Technologies Drop Means Buy Now,GuruFocus,8/27/2015 0:00,A,agilent technologies drop means buy,neutral
Quick Post MicroCaps The Market and Conviction,Marketfy Insights,8/26/2015 0:00,A,quick post microcaps market conviction,negative
Agilent Technologies (A) Beats on Q3 Earnings & Revenues,Zacks,8/18/2015 0:00,A,agilent technologies beats earnings revenues,neutral
Wall Street Breakfast: China Stock Plunge Weighs On World Markets,Seeking Alpha,8/18/2015 0:00,A,wall street breakfast china stock plunge weighs world markets,positive
"Agilent's revenue guidance light, EPS guidance in-line; orders drop 6%",Seeking Alpha,8/17/2015 0:00,A,agilent revenue guidance light eps guidance line orders drop,positive
Agilent Technologies (A) Q4 2014 Results - Earnings Call Webcast,Seeking Alpha,8/17/2015 0:00,A,agilent technologies        results earnings call webcast,negative
"Agilent beats by $0.03, beats on revenue",Seeking Alpha,8/17/2015 0:00,A,agilent beats         beats revenue,neutral
"N.Y. Survey Nicks Stock Futures; Tesla Climbs, Estee Lauder Dives",Investor's Business Daily,8/17/2015 0:00,A,survey nicks stock futures tesla climbs estee lauder dives,negative
What Lies Ahead for Agilent Technologies' (A) Q3 Earnings?,Zacks,8/12/2015 0:00,A,lies ahead agilent technologies earnings,negative
Agilent Launches Sample-Preparation Product to Test Food,Zacks,8/12/2015 0:00,A,agilent launches sample preparation product test food,negative
The Vetr community has upgraded $A to 4.5-Stars.,Vetr,8/11/2015 0:00,A,vetr community upgraded      stars,negative
The Vetr community has downgraded $A to 4-Stars,Vetr,8/10/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has upgraded $A to 4.5-Stars.,Vetr,8/6/2015 0:00,A,vetr community upgraded      stars,negative
"Waters Corp. Keeps Beating Estimates, Remains Undervalued",Seeking Alpha,8/6/2015 0:00,A,waters corp keeps beating estimates remains undervalued,neutral
The Vetr community has downgraded $A to 4-Stars,Vetr,7/28/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has upgraded $A to 4.5-Stars.,Vetr,7/23/2015 0:00,A,vetr community upgraded      stars,negative
The Vetr community has downgraded $A to 4-Stars,Vetr,7/22/2015 0:00,A,vetr community downgraded stars,positive
Badger Meter Q2 Earnings Lag on Lower-than-Expected Sales - Analyst Blog,Zacks,7/22/2015 0:00,A,badger meter earnings lag lower expected sales analyst blog,positive
The Vetr community has upgraded $A to 4.5-Stars.,Vetr,7/20/2015 0:00,A,vetr community upgraded      stars,negative
"Russell, Sigurd Varian's Klystron Amped Up Frequency",Investor's Business Daily,7/13/2015 0:00,A,russell sigurd varian klystron amped frequency,negative
The Vetr community has downgraded $A to 4-Stars,Vetr,7/12/2015 0:00,A,vetr community downgraded stars,positive
FDA gives restaurant chains deadline on posting calorie counts,Seeking Alpha,7/9/2015 0:00,A,fda gives restaurant chains deadline posting calorie counts,negative
The Vetr community has upgraded $A to 4.5-Stars.,Vetr,7/8/2015 0:00,A,vetr community upgraded      stars,negative
"Agilent, Thermo Fisher tick higher amid M&A chatter",Seeking Alpha,6/24/2015 0:00,A,agilent thermo fisher tick higher amid chatter,neutral
Newly Agile Agilent May Yet Be Weighed Down By Expectations,Seeking Alpha,6/24/2015 0:00,A,newly agile agilent may yet weighed expectations,positive
"Why Agilent Technologies is a ""Hold""",GuruFocus,6/17/2015 0:00,A,agilent technologies hold,positive
Buy the Keysight Technologies Spinoff After the Dip,GuruFocus,6/17/2015 0:00,A,buy keysight technologies spinoff dip,neutral
Dividend Analysis Shows Agilent Is Overvalued,Seeking Alpha,6/15/2015 0:00,A,dividend analysis shows agilent overvalued,negative
Opportunities And Risks In The Biotechnology Industry: 2 Companies In South Africa,Seeking Alpha,6/4/2015 0:00,A,opportunities risks biotechnology industry     companies south africa,negative
Agilent Technologies' (A) CEO Mike McMullen Hosts Analyst and Investor Meeting (Transcript),Seeking Alpha,5/29/2015 0:00,A,agilent technologies ceo mike mcmullen hosts analyst investor meeting transcript,negative
The Vetr community has upgraded $A to 3.5-Stars.,Vetr,5/28/2015 0:00,A,vetr community upgraded      stars,negative
"Pressures from China, Greek Markets - Ahead of Wall Street",Zacks,5/28/2015 0:00,A,pressures china greek markets ahead wall street,positive
Agilent authorizes new buyback program,Seeking Alpha,5/28/2015 0:00,A,agilent authorizes new buyback program,negative
The Vetr community has downgraded $A to 3-Stars,Vetr,5/27/2015 0:00,A,vetr community downgraded stars,positive
The Vetr community has upgraded $A to 3.5-Stars.,Vetr,5/26/2015 0:00,A,vetr community upgraded      stars,negative
Health Care Stocks For A Dividend Growth Portfolio - Part 2,Seeking Alpha,5/26/2015 0:00,A,health care stocks dividend growth portfolio part,negative
Health Care Stocks For A Dividend Growth Portfolio - Part 1,Seeking Alpha,5/26/2015 0:00,A,health care stocks dividend growth portfolio part,negative
Agilent declares $0.10 dividend,Seeking Alpha,5/20/2015 0:00,A,agilent declares        dividend,negative
Agilent: Corporate Action The Main Catalyst,Seeking Alpha,5/20/2015 0:00,A,agilent corporate action main catalyst,neutral
Agilent Technologies (A) Michael R. McMullen on Q2 2015 Results - Earnings Call Transcript,Seeking Alpha,5/19/2015 0:00,A,agilent technologies michael mcmullen        results earnings call transcript,negative
Agilent Technologies (A) Misses on Q2 Earnings & Revenues - Analyst Blog,Zacks,5/19/2015 0:00,A,agilent technologies misses earnings revenues analyst blog,positive
Wall Street Breakfast: ECB Pledges To Boost Bond Buying,Seeking Alpha,5/19/2015 0:00,A,wall street breakfast ecb pledges boost bond buying,neutral
AGILENT TECHNOLOGIES',Investor's Business Daily,5/18/2015 0:00,A,agilent technologies,negative
Agilent -3.4% after FQ2 miss; FY15 EPS guidance maintained,Seeking Alpha,5/18/2015 0:00,A,agilent        miss eps guidance maintained,positive
Agilent Technologies (A) Q3 2014 Results - Earnings Call Webcast,Seeking Alpha,5/18/2015 0:00,A,agilent technologies        results earnings call webcast,negative
"Agilent misses by $0.01, misses on revenue",Seeking Alpha,5/18/2015 0:00,A,agilent misses         misses revenue,positive
The Vetr community has downgraded $A to 3-Stars,Vetr,5/17/2015 0:00,A,vetr community downgraded stars,positive
Agilent Technologies Reports Earnings Monday After The Bell And Here Are My Thoughts,Seeking Alpha,5/17/2015 0:00,A,agilent technologies reports earnings monday bell thoughts,negative
Notable earnings after Monday's close,Seeking Alpha,5/17/2015 0:00,A,notable earnings monday close,negative
Waters Corporation Keeps The Growth Story Intact,Seeking Alpha,5/17/2015 0:00,A,waters corporation keeps growth story intact,neutral
What's in Store for Agilent Technologies (A) in Q2 Earnings? - Analyst Blog,Zacks,5/15/2015 0:00,A,store agilent technologies earnings     analyst blog,negative
"Danaher Acquiring Pall, Splitting Off Industrial Biz",Investor's Business Daily,5/13/2015 0:00,A,danaher acquiring pall splitting industrial biz,negative
The Vetr community has upgraded $A to 3.5-Stars.,Vetr,5/13/2015 0:00,A,vetr community upgraded      stars,negative
The Vetr community has downgraded $A to 3-Stars,Vetr,5/10/2015 0:00,A,vetr community downgraded stars,positive
Quest For Growth Remains On The Right Track - Another Double-Digit Dividend Could Be Expected,Seeking Alpha,5/9/2015 0:00,A,quest growth remains right track another double digit dividend could expected,neutral
"Avago, SunEdison, Atmel Lead Session For Chipmakers",Investor's Business Daily,5/7/2015 0:00,A,avago sunedison atmel lead session chipmakers,negative
Agilent to acquire genetic data management provider,Seeking Alpha,5/4/2015 0:00,A,agilent acquire genetic data management provider,negative
"JDS Uniphase (JDSU) Beats on Q3 Earnings, Sales Slip - Analyst Blog",Zacks,5/1/2015 0:00,A,jds uniphase jdsu beats earnings sales slip analyst blog,neutral
Garmin: A Bargain for Patient Investors,GuruFocus,4/30/2015 0:00,A,garmin bargain patient investors,neutral
"Waters' ""spectacular"" Q1 bodes well for peers - Janney",Seeking Alpha,4/28/2015 0:00,A,waters spectacular bodes well peers janney,neutral
The Vetr community has upgraded $A to 3.5-Stars.,Vetr,4/27/2015 0:00,A,vetr community upgraded      stars,negative
"MOCON Has Some Headwinds For 2015, But A Good Underlying Business",Seeking Alpha,4/18/2015 0:00,A,mocon headwinds        good underlying business,neutral
The Vetr community has downgraded $A to 3-Stars,Vetr,4/15/2015 0:00,A,vetr community downgraded stars,positive
eBay Appoints 3 New Executives Ahead of PayPal Spin-off - Analyst Blog,Zacks,4/14/2015 0:00,A,ebay appoints new executives ahead paypal spin analyst blog,negative
The Vetr community has upgraded $A to 3.5-Stars.,Vetr,4/14/2015 0:00,A,vetr community upgraded      stars,negative
Wall Street Breakfast: Nokia Confirms Advanced Merger Talks With Alcatel-Lucent,Seeking Alpha,4/14/2015 0:00,A,wall street breakfast nokia confirms advanced merger talks alcatel lucent,negative
National Instruments: Innovative Provider Of Tools To Develop 5G Wireless Technology,Seeking Alpha,4/13/2015 0:00,A,national instruments innovative provider tools develop wireless technology,neutral
"Weekly 52-Week Highs Highlight: ADS, CHT, A, KYO, LFC",GuruFocus,4/12/2015 0:00,A,weekly     week highs highlight ads cht kyo lfc,negative
Tell Me About 2008,Seeking Alpha,4/6/2015 0:00,A,tell     ,negative
Agilent Has Enough Cash On Hand To Increase The Dividend,Seeking Alpha,4/5/2015 0:00,A,agilent enough cash hand increase dividend,neutral
ModernGraham Quarterly Valuation Of Agilent Technologies,Seeking Alpha,4/3/2015 0:00,A,moderngraham quarterly valuation agilent technologies,negative
Agilent's X-Ray Diffraction Unit to be Acquired by Rigaku - Analyst Blog,Zacks,3/31/2015 0:00,A,agilent ray diffraction unit acquired rigaku analyst blog,negative
The March Madness 'Sweet 16' of Stocks - Analyst Blog,Zacks,3/26/2015 0:00,A,march madness sweet      stocks analyst blog,negative
Agilent Has Done Well After Reporting Earnings,Seeking Alpha,3/23/2015 0:00,A,agilent done well reporting earnings,neutral
Agilent declares $0.10 dividend,Seeking Alpha,3/18/2015 0:00,A,agilent declares        dividend,negative
McMullen takes over as Agilent's CEO,Seeking Alpha,3/18/2015 0:00,A,mcmullen takes agilent ceo,negative
Agilent-ONO Companion Diagnostics Aim - Analyst Blog,Zacks,2/23/2015 0:00,A,agilent ono companion diagnostics aim analyst blog,negative
Agilent: Strong Fundamentals Offset FX Headwinds In Q1,Seeking Alpha,2/20/2015 0:00,A,agilent strong fundamentals offset headwinds,neutral
"Company News for February 19, 2015 - Corporate Summary",Zacks,2/19/2015 0:00,A,company news february             corporate summary,negative
Agilent's Q1 Earnings & Revenues In Line with Estimates - Analyst Blog,Zacks,2/18/2015 0:00,A,agilent earnings revenues line estimates analyst blog,negative
Agilent Technologies' (A) CEO Bill Sullivan on Q1 2015 Results - Earnings Call Transcript,Seeking Alpha,2/17/2015 0:00,A,agilent technologies ceo bill sullivan        results earnings call transcript,negative
Agilent's FY15 view light; orders up 2%,Seeking Alpha,2/17/2015 0:00,A,agilent view light orders,positive
Agilent Technologies (A) Q2 2014 Results - Earnings Call Webcast,Seeking Alpha,2/17/2015 0:00,A,agilent technologies        results earnings call webcast,negative
"Agilent EPS in-line, beats on revenue",Seeking Alpha,2/17/2015 0:00,A,agilent eps line beats revenue,neutral
Agilent reports after the close,Seeking Alpha,2/17/2015 0:00,A,agilent reports close,negative
My Agilent Fiscal First Quarter Earnings Prediction,Seeking Alpha,2/17/2015 0:00,A,agilent fiscal first quarter earnings prediction,negative
Notable earnings after Tuesday's close,Seeking Alpha,2/16/2015 0:00,A,notable earnings tuesday close,negative
Will Agilent (A) Miss Estimates this Earnings Season? - Analyst Blog,Zacks,2/16/2015 0:00,A,agilent miss estimates earnings season     analyst blog,positive
Agilent reports February 17,Seeking Alpha,2/2/2015 0:00,A,agilent reports february,negative
Zacks Rank #5 Additions for Monday - Tale of the Tape,Zacks,1/19/2015 0:00,A,zacks rank     additions monday tale tape,negative
Agilent Arm/Cell Signaling Tie for Companion Diagnostics - Analyst Blog,Zacks,1/15/2015 0:00,A,agilent arm cell signaling tie companion diagnostics analyst blog,negative
Affymetrix's Preliminary Q4 Revenues Outshine Estimates - Analyst Blog,Zacks,1/13/2015 0:00,A,affymetrix preliminary revenues outshine estimates analyst blog,negative
ModernGraham Quarterly Valuation Of Agilent Technologies,Seeking Alpha,1/5/2015 0:00,A,moderngraham quarterly valuation agilent technologies,negative
Help Us Choose A Dividend Growth Stock For Our IRA,Seeking Alpha,1/5/2015 0:00,A,help choose dividend growth stock ira,neutral
Affymetrix (AFFX) Touches 52-Week High on Bullish Trends - Analyst Blog,Zacks,12/29/2014 0:00,A,affymetrix affx touches     week high bullish trends analyst blog,negative
Electronic Arts Inc. (EA) Rises: Stock Adds 5.4% in Session - Tale of the Tape,Zacks,12/4/2014 0:00,A,electronic arts inc rises stock adds       session tale tape,neutral
"Agilent Beats on Q4 Earnings, Guides Above Expectations - Analyst Blog",Zacks,11/19/2014 0:00,A,agilent beats earnings guides expectations analyst blog,neutral
AGILENT TECHNOLOGIES,Investor's Business Daily,11/17/2014 0:00,A,agilent technologies,negative
Will Agilent Technologies (A) Miss Q4 Earnings Estimates? - Analyst Blog,Zacks,11/14/2014 0:00,A,agilent technologies miss earnings estimates     analyst blog,positive
Zacks Rank #5 Additions for Friday - Tale of the Tape,Zacks,11/14/2014 0:00,A,zacks rank     additions friday tale tape,negative
Danaher Upgraded As Analyst Pushes Agilent Buyout,Investor's Business Daily,11/12/2014 0:00,A,danaher upgraded analyst pushes agilent buyout,neutral
